d_name,pop_total,area_km2,house_amt
แขวงวัดกัลยาณ์,8942.0,0.79,2762.0
แขวงบุคคโล,17198.0,1.21,12980.0
แขวงบางยี่เรือ,21201.0,1.52,7968.0
แขวงตลาดพลู,15561.0,1.82,8071.0
แขวงดาวคะนอง,17361.0,1.29,11878.0
แขวงบางมด,55100.0,12.77,26527.0
แขวงทุ่งครุ,67196.0,17.98,25430.0
แขวงศาลาธรรมสพน์,55516.0,28.7,24545.0
แขวงทวีวัฒนา,22878.0,21.52,8825.0
แขวงบางระมาด,19570.0,8.54,7818.0
แขวงบางพรม,13758.0,4.25,4761.0
แขวงบางเชือกหนัง,11860.0,2.92,4232.0
แขวงตลิ่งชัน,25007.0,5.18,11329.0
แขวงฉิมพลี,24336.0,7.34,9410.0
แขวงคลองชักพระ,10516.0,1.25,4588.0
แขวงสี่แยกมหานาค,7422.0,0.34,2434.0
แขวงสวนจิตรลดา,8821.0,1.74,2471.0
แขวงวชิรพยาบาล,10808.0,1.07,3062.0
แขวงถนนนครไชยศรี,55220.0,5.28,20794.0
แขวงดุสิต,12583.0,2.23,2533.0
แขวงดินแดง,75779.0,8.35,37046.0
แขวงสีกัน,63093.0,11.53,27550.0
แขวงสนามบิน,23520.0,14.66,10034.0
แขวงดอนเมือง,82646.0,10.61,38370.0
แขวงบางมด,44825.0,11.92,23072.0
แขวงบางค้อ,35277.0,3.38,17862.0
แขวงบางขุนเทียน,36479.0,5.79,14497.0
แขวงจอมทอง,34593.0,5.18,15675.0
แขวงเสนานิคม,19869.0,2.83,15694.0
แขวงลาดยาว,42560.0,10.69,27325.0
แขวงจันทรเกษม,38754.0,6.03,25856.0
แขวงจอมพล,31344.0,5.49,31203.0
แขวงจตุจักร,23396.0,7.88,13475.0
แขวงรามอินทรา,49487.0,13.06,26181.0
แขวงคันนายาว,47700.0,12.92,18053.0
แขวงสามวาตะวันออก,26064.0,40.57,9087.0
แขวงสามวาตะวันตก,56670.0,24.25,23595.0
แขวงบางชัน,85843.0,18.64,40135.0
แขวงทรายกองดินใต้,16811.0,15.82,4643.0
แขวงทรายกองดิน,12631.0,11.4,4952.0
แขวงสมเด็จเจ้าพระยา,13027.0,1.32,5051.0
แขวงบางลำภูล่าง,24344.0,2.23,13299.0
แขวงคลองสาน,16048.0,0.73,5861.0
แขวงคลองต้นไทร,18752.0,1.77,14619.0
แขวงพระโขนง,23096.0,3.85,24434.0
แขวงคลองเตย,67346.0,7.25,33423.0
แขวงคลองตัน,11101.0,1.9,14323.0
